incorrect	correct
lap lanh	lấp lánh
lay duoc	lấy được
lat long	lật lọng
long leo	lỏng lẻo
lon manh	lớn mạnh
lon tuoi	lớn tuổi
lom khom	lởm khởm
loi dung	lợi dụng
mien phi	miễn phí
mien sao	miễn sao
mong cho	mong chờ
mong doi	mong đợi
muon nam	muôn năm
man hinh	màn hình
may giat	máy giặt
may tinh	máy tính
manh dan	mạnh dạn
manh tay	mạnh tay
mat long	mất lòng
mat mang	mất mạng
mat tich	mất tích
mat khau	mật khẩu
mat kinh	mắt kính
mac dinh	mặc định
mat bang	mặt bằng
mat hang	mặt hàng
mat khac	mặt khác
mat troi	mặt trời
menh gia	mệnh giá
mot chut	một chút
mot cach	một cách
mot minh	một mình
moi tinh	mới tinh
mo mieng	mở miệng
muc tieu	mục tiêu
muc dich	mục đích
nghe dau	nghe đâu
nghi ngo	nghi ngờ
nghi lai	nghĩ lại
nghia la	nghĩa là
ngoai ra	ngoài ra
ngu ngoc	ngu ngốc
ngu xuan	ngu xuẩn
ngay gio	ngày giờ
ngay kia	ngày kia
ngay mai	ngày mai
ngay mot	ngày một
ngay nay	ngày nay
ngay xua	ngày xưa
ngon cai	ngón cái
ngon tro	ngón trỏ
ngoi sao	ngôi sao
ngon ngu	ngôn ngữ
ngo ngac	ngơ ngác
nguoi ta	người ta
ngan gon	ngắn gọn
ngo ngan	ngớ ngẩn
ngua mat	ngứa mắt
nhieu su	nhiễu sự
nhiem vu	nhiệm vụ
nhiet ke	nhiệt kế
nha giao	nhà giáo
nha hang	nhà hàng
nha nuoc	nhà nước
nha sach	nhà sách
nhay mat	nháy mắt
nhan dan	nhân dân
nhan dip	nhân dịp
nhan qua	nhân quả
nhan mac	nhãn mác
nhun vai	nhún vai
nhan nho	nhăn nhó
nhu choi	như chơi
nhu dien	như điên
nhay cam	nhạy cảm
nham nhi	nhảm nhí
nham lan	nhầm lẫn
nhan mat	nhận mặt
nhan xet	nhận xét
nhac nho	nhắc nhở
nhan gui	nhắn gửi
nhan tin	nhắn tin
niem yet	niêm yết
nang cap	nâng cấp
nang gia	nâng giá
noi nang	nói năng
nong buc	nóng bức
nong dan	nông dân
nang luc	năng lực
nuoc hoa	nước hoa
nuoc mat	nước mắt
nan nhan	nạn nhân
nan long	nản lòng
nen tang	nền tảng
noi dung	nội dung
nuc cuoi	nực cười
oan uong	oan uổng
ok thich	ok thích
phim anh	phim ảnh
phong do	phong độ
phan nan	phàn nàn
pha hoai	phá hoại
phao hoa	pháo hoa
phat tai	phát tài
phat dat	phát đạt
phan nua	phân nửa
phan van	phân vân
phe binh	phê bình
phi pham	phí phạm
phai chi	phải chi
phan cam	phản cảm
phan doi	phản đối
phan ung	phản ứng
phan lon	phần lớn
phan nao	phần nào
pham gia	phẩm giá
phe lieu	phế liệu
phe pham	phế phẩm
phe thai	phế thải
phoi hop	phối hợp
pho bien	phổ biến
phu kien	phụ kiện
phu tung	phụ tùng
phuc hoi	phục hồi
phu nhan	phủ nhận
phui tay	phủi tay
phuc tap	phức tạp
qua ngay	qua ngày
quan sat	quan sát
quan tam	quan tâm
qui dinh	qui định
quy cach	quy cách
quy dinh	quy định
qua dang	quá đáng
quan doi	quân đội
qua tang	quả tang
qua that	quả thật
quan tri	quản trị
quang ba	quảng bá
quay roi	quấy rối
quan lot	quần lót
quan dui	quần đùi
quoc gia	quốc gia
rieng le	riêng lẻ
rieng tu	riêng tư
rac ruoi	rác rưởi
rach nat	rách nát
rut tien	rút tiền
ranh roi	rảnh rỗi
rot cuoc	rốt cuộc
rong rai	rộng rãi
sai lech	sai lệch
sai pham	sai phạm
sao chep	sao chép
sau cung	sau cùng
shop huy	shop hủy
sieu thi	siêu thị
sieu toc	siêu tốc
sang loc	sàng lọc
sang lap	sáng lập
sang mai	sáng mai
sang tao	sáng tạo
san choi	sân chơi
suc sinh	súc sinh
san xuat	sản xuất
san sang	sẵn sàng
so luong	số lượng
so thanh	số thành
sot ruot	sốt ruột
som muon	sớm muộn
so thich	sở thích
suc khoe	sức khỏe
sua chua	sửa chữa
tay nghe	tay nghề
thanh ly	thanh lý
thao tac	thao tác
thay mat	thay mặt
thay doi	thay đổi
theo doi	theo dõi
thien ha	thiên hạ
thien vi	thiên vị
thiet ke	thiết kế
thieu gi	thiếu gì
thu nhap	thu nhập
thu thap	thu thập
thua kem	thua kém
thue bao	thuê bao
thue vat	thuế vat
thuoc la	thuốc lá
thanh ra	thành ra
than men	thân mến
thi thoi	thì thôi
thoi thi	thôi thì
thong so	thông số
thu vien	thư viện
tham hai	thảm hại
that bai	thất bại
that lac	thất lạc
that duc	thất đức
tham chi	thậm chí
that tha	thật thà
thac mac	thắc mắc
the hien	thể hiện
the loai	thể loại
the thao	thể thao
thi phan	thị phần
thi tran	thị trấn
thoa mai	thỏa mái
thoa suc	thỏa sức
thoi gio	thời giờ
thoi han	thời hạn
thoi dai	thời đại
thut lui	thụt lùi
thu cong	thủ công
thu doan	thủ đoạn
thuc don	thực đơn
tiki huy	tiki hủy
tinh dau	tinh dầu
tieu chi	tiêu chí
tiep can	tiếp cận
tiep tay	tiếp tay
tiep thu	tiếp thu
tiep thi	tiếp thị
tiep xuc	tiếp xúc
tien bac	tiền bạc
tien mat	tiền mặt
tien van	tiền vận
toan cau	toàn cầu
toan huy	toàn hủy
toan tap	toàn tập
trang bi	trang bị
tranh cu	tranh cử
trao doi	trao đổi
triet de	triệt để
truy cap	truy cập
tra tron	trà trộn
tran lan	tràn lan
tran tre	tràn trề
tra hang	trá hàng
tra hinh	trá hình
trai tim	trái tim
trai dao	trái đào
tren het	trên hết
tri hoan	trì hoãn
trinh tu	trình tự
trinh do	trình độ
tro choi	trò chơi
troi noi	trôi nổi
tron tru	trơn tru
troi dat	trời đất
tro ngai	trở ngại
tro giup	trợ giúp
truc loi	trục lợi
tuy rang	tuy rằng
tuyen bo	tuyên bố
tuan thu	tuân thủ
tai nghe	tài nghệ
tac dung	tác dụng
tam giao	tâm giao
ten tuoi	tên tuổi
tim hieu	tìm hiểu
tim kiem	tìm kiếm
tinh cam	tình cảm
tinh duc	tình dục
tinh yeu	tình yêu
tich gop	tích góp
tich hop	tích hợp
tich luy	tích lũy
tin hieu	tín hiệu
tuy chon	tùy chọn
tuy shop	tùy shop
tuy tien	tùy tiện
tui tien	túi tiền
tui xach	túi xách
tuong tu	tương tự
tam biet	tạm biệt
tap nham	tạp nham
tang lop	tầng lớp
tay chay	tẩy chay
tan dung	tận dụng
tan tinh	tận tình
tap doan	tập đoàn
tinh tao	tỉnh táo
toi ngay	tối ngày
tot bung	tốt bụng
tot khoe	tốt khỏe
tot lanh	tốt lành
tot tinh	tốt tính
ton that	tổn thất
tong gia	tổng giá
tong hop	tổng hợp
tong lai	tổng lại
tong phi	tổng phí
tong the	tổng thể
tong dai	tổng đài
tong don	tổng đơn
tuc gian	tức giận
viec lam	việc làm
viet nam	việt nam
vui long	vui lòng
vui mung	vui mừng
vui nhon	vui nhộn
vui tinh	vui tính
vao cuoc	vào cuộc
vong tay	vòng tay
vo duyen	vô duyên
vo nghia	vô nghĩa
vung sau	vùng sâu
van minh	văn minh
vung tau	vũng tàu
vuot bac	vượt bậc
van hanh	vận hành
van dong	vận động
vat dung	vật dụng
vat pham	vật phẩm
vo chong	vợ chồng
vua long	vừa lòng
vua phai	vừa phải
xinh dep	xinh đẹp
xong huy	xong hủy
xu huong	xu hướng
xuat ban	xuất bản
xuat sac	xuất sắc
xac minh	xác minh
xac nhan	xác nhận
xac thuc	xác thực
xac dinh	xác định
xam nhap	xâm nhập
xay dung	xây dựng
xoa hang	xóa hàng
xoa luon	xóa luôn
xuc pham	xúc phạm
yen nghi	yên nghỉ
yeu sach	yêu sách
yeu tinh	yêu tinh
anh sang	ánh sáng
ao khoac	áo khoác
ao phong	áo phông
am thanh	âm thanh
it nhieu	ít nhiều
an khong	ăn không
dan cheo	đan chéo
den thui	đen thui
dieu tra	điều tra
dien bao	điện báo
dien may	điện máy
dao thai	đào thải
dang gia	đáng giá
danh bac	đánh bạc
danh cap	đánh cắp
danh dau	đánh dấu
danh lua	đánh lừa
dong cua	đóng cửa
dong goi	đóng gói
dong gop	đóng góp
dong hop	đóng hộp
doi chut	đôi chút
dung dan	đúng đắn
dang tai	đăng tải
don gian	đơn giản
duoc cai	được cái
dai dien	đại diện
dai loai	đại loại
dat nuoc	đất nước
dau hang	đầu hàng
dau sach	đầu sách
dau tien	đầu tiên
dau xanh	đậu xanh
dang cap	đẳng cấp
dac biet	đặc biệt
dep trai	đẹp trai
de phong	đề phòng
dinh cao	đỉnh cao
dia diem	địa điểm
dong nai	đồng nai
dong luc	động lực
dong vat	động vật
dot ngot	đột ngột
dot xuat	đột xuất
doi song	đời sống
ua thich	ưa thích
uoc tinh	ước tính
an tuong	ấn tượng
an giang	an giang
bac lieu	bạc liêu
bac ninh	bắc ninh
cao bang	cao bằng
hoa binh	hòa bình
ha giang	hà giang
hung yen	hưng yên
dak nong	đắk nông
lai chau	lai châu
lam dong	lâm đồng
lang son	lạng sơn
nam dinh	nam định
tra vinh	trà vinh
tay ninh	tây ninh
hay that	hay thật
an toan	an toàn
anh chi	anh chị
ban dem	ban đêm
ban dau	ban đầu
bao boc	bao bọc
bao gio	bao giờ
bao goi	bao gói
bao gom	bao gồm
bao lau	bao lâu
bao tai	bao tải
bien co	biến cố
biet on	biết ơn
buon ba	buồn bã
bai hoc	bài học
ban cai	bàn cãi
ban tay	bàn tay
bao che	bào chế
bay dat	bày đặt
banh mi	bánh mì
banh xe	bánh xe
bao cao	báo cáo
bao gia	báo giá
bay gio	bây giờ
binh on	bình ổn
bong da	bóng đá
buu cuc	bưu cục
ban sao	bản sao
bao mat	bảo mật
bao thu	bảo thủ
bao tri	bảo trì
bao tro	bảo trợ
bam huy	bấm hủy
bat can	bất cần
bat loi	bất lợi
bat luc	bất lực
bat man	bất mãn
bat ngo	bất ngờ
bat tin	bất tín
ban biu	bận bịu
ban ron	bận rộn
ban tam	bận tâm
bat lua	bật lửa
bap cay	bắp cày
bap tay	bắp tay
bat mat	bắt mắt
bat tay	bắt tay
bat dau	bắt đầu
bat den	bắt đền
bip bom	bịp bợm
bo hung	bọ hung
boi roi	bối rối
bo sung	bổ sung
bo phan	bộ phận
buc xuc	bức xúc
bua bai	bừa bãi
bua nay	bữa nay
buc boi	bực bội
buc tuc	bực tức
cam ket	cam kết
cao cap	cao cấp
cao gia	cao giá
chi phi	chi phí
chi tra	chi trả
chia se	chia sẻ
cho nen	cho nên
chu dao	chu đáo
chen ep	chèn ép
che bai	chê bai
chut it	chút ít
chac an	chắc ăn
che tai	chế tài
chi bao	chỉ bảo
chi dan	chỉ dẫn
chi toi	chỉ tội
choi bo	chối bỏ
cho doi	chờ đợi
cho bua	chợ búa
chu yeu	chủ yếu
chu cai	chữ cái
chu tin	chữ tín
con gai	con gái
con mot	con một
con nit	con nít
ca chon	cà chớn
cai dat	cài đặt
ca nhan	cá nhân
cai tro	cái trò
cau gat	cáu gắt
cay but	cây bút
cai lon	cãi lộn
co dieu	có điều
cong an	công an
cong bo	công bố
cong cu	công cụ
co quan	cơ quan
com bua	cơm bữa
cuoi do	cười đồ
can loi	cạn lời
cai tao	cải tạo
cam xuc	cảm xúc
cam ung	cảm ứng
cau ket	cấu kết
can cau	cần câu
cau thu	cầu thủ
cau tha	cẩu thả
co gang	cố gắng
co tinh	cố tình
co dinh	cố định
co phan	cổ phần
coc can	cộc cằn
coc loc	cộc lốc
cuc suc	cục súc
cung co	củng cố
cuc kho	cực khổ
danh ba	danh bạ
danh du	danh dự
dien ta	diễn tả
du lich	du lịch
duy tri	duy trì
dan toc	dân tộc
day dua	dây dưa
dai kho	dại khờ
dau goi	dầu gội
de chiu	dễ chịu
de tinh	dễ tính
dich vu	dịch vụ
doi dao	dồi dào
dung cu	dụng cụ
dung mo	dửng mỡ
du lieu	dữ liệu
du tinh	dự tính
du doan	dự đoán
du dinh	dự định
ghi chu	ghi chú
ghe gom	ghê gớm
gia bao	gia bảo
gia han	gia hạn
giau co	giàu có
gia nhu	giá như
gia tri	giá trị
gio mua	gió mùa
giup do	giúp đỡ
gia doi	giả dối
gia mao	giả mạo
gia tao	giả tạo
gian di	giản dị
giay to	giấy tờ
gian du	giận dữ
gio day	giờ đây
gan gui	gần gũi
gat gao	gắt gao
gon nhe	gọn nhẹ
hay huy	hay hủy
hi vong	hi vọng
hoa toc	hoả tốc
hy vong	hy vọng
hang ho	hàng họ
hang ma	hàng mã
hanh vi	hành vi
hom thu	hòm thư
hom kia	hôm kia
hom nay	hôm nay
hom qua	hôm qua
hon nua	hơn nữa
hu hong	hư hỏng
han che	hạn chế
han hep	hạn hẹp
hau het	hầu hết
hau nhu	hầu như
hau mai	hậu mãi
hau qua	hậu quả
hat hoi	hắt hơi
han hoi	hẳn hoi
het hon	hết hồn
het loi	hết lời
het suc	hết sức
hoc hoi	học hỏi
hoc tap	học tập
hoi han	hối hận
hoi hop	hồi hộp
hoi cho	hội chợ
hoi thi	hội thí
hop thu	hộp thư
hoi hot	hời hợt
hop tac	hợp tác
huy tin	hủy tín
huy don	hủy đơn
hua hen	hứa hẹn
im lang	im lặng
kha kha	kha khá
khu vuc	khu vực
khi tai	khí tài
kha thi	khả thi
kinh di	kinh dị
kem coi	kém cỏi
keo dai	kéo dài
keo lai	kéo lại
keu goi	kêu gọi
keu huy	kêu hủy
ki dieu	kì diệu
ki vong	kì vọng
kich co	kích cỡ
ki cang	kĩ càng
ke gian	kẻ gian
ke tiep	kế tiếp
ket ban	kết bạn
ket hop	kết hợp
ket qua	kết quả
ky dieu	kỳ diệu
ky niem	kỷ niệm
ky cang	kỹ càng
ky nang	kỹ năng
la lang	la làng
liet ke	liệt kê
lo lang	lo lắng
lo ngai	lo ngại
loai bo	loại bỏ
loan xa	loạn xạ
lam ban	làm bạn
lam chi	làm chi
lam gia	làm giá
lam kho	làm khó
lam ngo	làm ngơ
lam nen	làm nên
lam sao	làm sao
lam tro	làm trò
lam toi	làm tới
lam dau	làm đầu
lau dai	lâu dài
lau lac	lâu lắc
lau nay	lâu nay
len mat	lên mặt
loi keo	lôi kéo
lom com	lôm côm
luc lac	lúc lắc
luc nao	lúc nào
lan tan	lăn tăn
luu tru	lưu trữ
la lung	lạ lùng
lai mat	lại mặt
lai qua	lại quả
lap tuc	lập tức
lap rap	lắp ráp
lap dat	lắp đặt
lap lai	lặp lại
lat vat	lặt vặt
le phep	lễ phép
loi lom	lồi lõm
lo hong	lỗ hổng
loi huy	lỗi hủy
loi lam	lỗi lầm
lon xon	lộn xộn
lop hoc	lớp học
loi noi	lời nói
loi khi	lợi khí
loi ich	lợi ích
lon con	lợn cợn
lua bip	lừa bịp
lua doi	lừa dối
lua gat	lừa gạt
lua loc	lừa lọc
mai mot	mai mốt
may man	may mắn
may rui	may rủi
mieu ta	miêu tả
mien la	miễn là
mua ban	mua bán
mua nua	mua nửa
mau sac	màu sắc
may bay	máy bay
may chu	máy chủ
may may	máy may
may moc	máy móc
may xay	máy xay
may anh	máy ảnh
ma tien	mã tiền
ma vach	mã vạch
mon moi	mòn mỏi
moc tui	móc túi
mo hinh	mô hình
mua roi	múa rối
mi pham	mĩ phẩm
mui ten	mũi tên
manh me	mạnh mẽ
mat day	mất dạy
mat hut	mất hút
mat hon	mất hồn
mat mat	mất mặt
mat net	mất nết
mat toi	mất toi
mat tam	mất tăm
mat mui	mặt mũi
me kiep	mẹ kiếp
mem mai	mềm mại
moi mon	mỏi mòn
moi mat	mỏi mắt
moi toi	mỗi tội
mot cai	một cái
mot hai	một hai
mot the	một thể
mot vai	một vài
mot doi	một đôi
moi huy	mới hủy
moi roi	mới rồi
moi day	mới đây
moi dau	mới đầu
mo hang	mở hàng
mo rong	mở rộng
muc huy	mục hủy
my pham	mỹ phẩm
nghe an	nghệ an
nghe si	nghệ sĩ
ngu dot	ngu dốt
nguy co	nguy cơ
ngon tu	ngôn từ
ngo dau	ngờ đâu
nho nho	nho nhỏ
nhu cau	nhu cầu
nha may	nhà máy
nha que	nhà quê
nha van	nhà văn
nhu the	như thể
nhu vay	như vầy
nhat la	nhất là
nhat ky	nhật ký
nho nhe	nhỏ nhẹ
nho xiu	nhỏ xíu
niem no	niềm nở
nao ngo	nào ngờ
noi doi	nói dối
noi huy	nói hủy
noi lao	nói láo
noi xau	nói xấu
nut huy	nút hủy
nam bay	năm bảy
nam dam	nắm đấm
nang ne	nặng nề
neu nhu	nếu như
noi bat	nổi bật
noi tro	nội trợ
noi dia	nội địa
nua dem	nửa đêm
ong mat	ong mật
pha gia	phá giá
pha san	phá sản
pham vi	phạm vi
phan no	phẫn nộ
phu phi	phụ phí
qua lai	qua lại
qua mat	qua mặt
quan he	quan hệ
quy doi	quy đổi
qua ban	quá bán
qua kho	quá khổ
qua lam	quá lắm
qua suc	quá sức
qua the	quá thể
qua tai	quá tải
qua toi	quá tội
qua bao	quả báo
qua dat	quả đất
quan li	quản lí
quan ly	quản lý
quan ao	quần áo
quoc te	quốc tế
ra soat	rà soát
ro rang	rõ ràng
ruom ra	rườm rà
rac roi	rắc rối
re tien	rẻ tiền
roi ram	rối rắm
roi day	rồi đây
sa thai	sa thải
sai lam	sai lầm
sai sot	sai sót
sau het	sau hết
sinh to	sinh tố
sieu te	siêu tệ
so sanh	so sánh
suon se	suôn sẻ
sai gon	sài gòn
sach vo	sách vở
sao sau	sáo sậu
sat sao	sát sao
sau sac	sâu sắc
suc vat	súc vật
suu tam	sưu tầm
suu tap	sưu tập
sach se	sạch sẽ
sap mat	sấp mặt
sap xep	sắp xếp
sua doi	sửa đổi
su kien	sự kiện
su that	sự thật
su viec	sự việc
tai nan	tai nạn
tay cam	tay cầm
tay mat	tay mặt
thay vi	thay vì
thi hai	thi hài
thi huy	thi hủy
thu hut	thu hút
thai do	thái độ
than ai	thân ái
thi gio	thì giờ
tho tuc	thô tục
thu toi	thú tội
thu muc	thư mục
than ki	thần kì
tham my	thẩm mỹ
tham te	thậm tệ
that ra	thật ra
the nho	thẻ nhớ
thi phi	thị phi
thoi ky	thời kỳ
thu tuc	thủ tục
thu bay	thứ bảy
thuc an	thức ăn
thuc ra	thực ra
thuc su	thực sự
tim tim	tim tím
tin tac	tin tặc
tin tuc	tin tức
tin yeu	tin yêu
tieu de	tiêu đề
tien bo	tiến bộ
tiet lo	tiết lộ
tien le	tiền lẻ
to dung	to đùng
toan bo	toàn bộ
tra cuu	tra cứu
tri tre	trì trệ
tro dua	trò đùa
tra gia	trả giá
tra gop	trả góp
tra loi	trả lời
tre con	trẻ con
tri gia	trị giá
tro len	trở lên
tro lai	trở lại
tro nen	trở nên
tro gia	trợ giá
tuan le	tuần lễ
tai nao	tài nào
tai san	tài sản
tai tro	tài trợ
tam tam	tàm tạm
tac gia	tác giả
tich su	tích sự
tin chi	tín chỉ
tom lai	tóm lại
tong do	tông đơ
tum lum	tùm lum
tam hoi	tăm hơi
tu cach	tư cách
tai cho	tại chỗ
tai sao	tại sao
tam bay	tầm bậy
tan tat	tần tật
tan mat	tận mắt
tan tay	tận tay
tan tam	tận tâm
tap hop	tập hợp
tap tin	tập tin
tinh le	tỉnh lẻ
ton kem	tốn kém
tot doi	tốt đôi
tot dep	tốt đẹp
ton kho	tồn kho
ton tai	tồn tại
to chuc	tổ chức
tong so	tổng số
toi lui	tới lui
tu lanh	tủ lạnh
tu choi	từ chối
tu khoa	từ khoá
tu dung	tự dưng
tu tien	tự tiện
tu dong	tự động
va cham	va chạm
vi pham	vi phạm
vi tinh	vi tính
vui ghe	vui ghê
vong vo	vòng vo
vo cung	vô cùng
vo dung	vô dụng
vo hinh	vô hình
vo thuc	vô thức
vo tinh	vô tình
vo dich	vô địch
vung xa	vùng xa
van ban	văn bản
van don	vận đơn
ve sinh	vệ sinh
voi lai	với lại
vu viec	vụ việc
vua moi	vừa mới
vua qua	vừa qua
vua roi	vừa rồi
xem lai	xem lại
xem mat	xem mặt
xem xet	xem xét
xin loi	xin lỗi
xuat xu	xuất xứ
xet lai	xét lại
xoa bai	xóa bài
xoa mat	xóa mất
xoa tai	xóa tải
xoa don	xóa đơn
xao tra	xảo trá
xu dung	xử dụng
xu phat	xử phạt
yeu cau	yêu cầu
yeu men	yêu mến
yeu quy	yêu quý
yeu kem	yếu kém
ao quan	áo quần
ap dung	áp dụng
am tham	âm thầm
ep buoc	ép buộc
it nhat	ít nhất
oi thoi	ôi thôi
an chan	ăn chặn
an cuop	ăn cướp
an gian	ăn gian
an quyt	ăn quỵt
an thua	ăn thua
an tien	ăn tiền
an trom	ăn trộm
an uong	ăn uống
da dung	đa dụng
da phan	đa phần
dau kho	đau khổ
dau dau	đau đầu
dien ro	điên rồ
dieu le	điều lệ
dien tu	điện tử
dom dom	đom đóm
dan ong	đàn ông
dao tao	đào tạo
dang ke	đáng kể
dang ly	đáng lý
dang le	đáng lẽ
dang ra	đáng ra
danh do	đánh đố
dap ung	đáp ứng
dau day	đâu đây
da danh	đã đành
den pin	đèn pin
doi hoi	đòi hỏi
dun day	đùn đẩy
dung ra	đúng ra
dang ki	đăng kí
don gia	đơn giá
don huy	đơn hủy
dai gia	đại gia
dai tra	đại trà
dao duc	đạo đức
dam bao	đảm bảo
dau lau	đầu lâu
dau vao	đầu vào
dat gia	đắt giá
dac sac	đặc sắc
dat coc	đặt cọc
de nghi	đề nghị
de xuat	đề xuất
de danh	để dành
de phan	để phần
deu gia	đểu giả
dia cau	địa cầu
dinh vi	định vị
doi thu	đối thủ
doi tac	đối tác
doi voi	đối với
do choi	đồ chơi
do dung	đồ dùng
do hang	đồ hàng
dong bo	đồng bộ
do thua	đổ thừa
doi moi	đổi mới
doc dao	độc đáo
doi ngu	đội ngũ
dong co	động cơ
doi nao	đời nào
doi cho	đợi chờ
uu tien	ưu tiên
uu viet	ưu việt
uu diem	ưu điểm
on dinh	ổn định
bac kan	bắc kạn
ben tre	bến tre
can tho	cần thơ
da nang	đà nẵng
gia lai	gia lai
ha tinh	hà tĩnh
dak lak	đắk lắk
kon tum	kon tum
long an	long an
lao cai	lào cai
phu tho	phú thọ
phu yen	phú yên
yen bai	yên bái
hay day	hay đấy
con cac	con cặc
ai lai	ai lại
ai ngo	ai ngờ
ai doi	ai đời
an tam	an tâm
ba bon	ba bốn
bao bi	bao bì
ba con	bà con
ba gia	bà già
ban la	bàn là
ban le	bán lẻ
be boi	bê bối
bi mat	bí mật
bo tay	bó tay
bup be	búp bê
buu ta	bưu tá
ban be	bạn bè
ban do	bản đồ
bao ho	bảo hộ
bao ve	bảo vệ
bat an	bất an
bat cu	bất cứ
bat ki	bất kì
bat ke	bất kể
bat ky	bất kỳ
bat on	bất ổn
bay ba	bậy bạ
bat be	bắt bẻ
bat ep	bắt ép
bo qua	bỏ qua
bo cuc	bố cục
bo thi	bố thí
bo tri	bố trí
bo ich	bổ ích
bo may	bộ máy
bo mat	bộ mặt
bo nho	bộ nhớ
boi vi	bởi vì
cau co	cau có
cay cu	cay cú
cha me	cha mẹ
cho du	cho dù
cha ba	chà bá
che do	chế độ
chi so	chỉ số
chi em	chị em
chu de	chủ đề
chu so	chữ số
con me	con mẹ
con so	con số
ca mau	cà mau
ca phe	cà phê
ca moi	cá mòi
ca map	cá mập
cay so	cây số
co gia	có giá
co han	có hạn
co hoc	có học
co mat	có mặt
co ich	có ích
co hon	cô hồn
con do	côn đồ
cu meo	cú mèo
can cu	căn cứ
co ban	cơ bản
co che	cơ chế
co hoi	cơ hội
cau ki	cầu kì
coi mo	cởi mở
cu the	cụ thể
cu cai	củ cải
cu lon	củ lồn
cua so	cửa sổ
cuc ki	cực kì
cuc ky	cực kỳ
du con	du côn
da man	dã man
de dat	dè dặt
du sao	dù sao
dau ca	dầu cá
de coi	dễ coi
do hoi	dở hơi
du doi	dữ dội
em gai	em gái
ghi no	ghi nợ
ghi am	ghi âm
gia ca	giá cả
gia su	giả sử
gia vo	giả vờ
gan bo	gắn bó
hay la	hay là
hoa ra	hoá ra
ha noi	hà nội
hu cau	hư cấu
hu hao	hư hao
hu hai	hư hại
hat de	hạt dẻ
hoi am	hồi âm
ho tro	hỗ trợ
hop li	hợp lí
hop le	hợp lệ
kho de	khó dễ
keu ca	kêu ca
keu la	kêu la
ki cuc	kì cục
ky cuc	kỳ cục
la ban	la bàn
la het	la hét
lam lo	làm lơ
lam ma	làm ma
lam vi	làm vì
lam on	làm ơn
la cai	lá cải
lau la	lâu la
len an	lên án
lap lo	lập lờ
lap di	lặp đi
loi le	lời lẽ
ma tuy	ma túy
mau le	mau lẹ
mua le	mua lẻ
mua do	mua đồ
mau da	màu da
mau me	màu mè
mat me	mát mẻ
may in	máy in
meo mo	méo mó
mua da	mưa đá
mau ma	mẫu mã
map mo	mập mờ
mat ma	mật mã
mac ca	mặc cả
mac du	mặc dù
mac ke	mặc kệ
mat na	mặt nạ
mo hoi	mồ hôi
mot so	một số
mot ti	một tí
mot it	một ít
moi la	mới lạ
moi me	mới mẻ
mo cua	mở cửa
muc do	mức độ
nhu ai	như ai
nho le	nhỏ lẻ
nao la	nào là
noi gi	nói gì
nan ni	năn nỉ
nat no	nạt nộ
nay no	nảy nở
no luc	nỗ lực
noi bo	nội bộ
nua la	nữa là
phi ly	phi lý
phu nu	phụ nữ
quy mo	quy mô
qua co	quá cố
qua xa	quá xá
quy vi	quý vị
ra hon	ra hồn
ra tro	ra trò
ra doi	ra đời
rom ra	rôm rả
ro ret	rõ rệt
ram ro	rầm rộ
rui ro	rủi ro
sai so	sai số
so sai	sơ sài
so mot	số một
so huu	sở hữu
so hai	sợ hãi
sup do	sụp đổ
tan vo	tan vỡ
thi cu	thi cử
tha la	thà là
thi du	thí dụ
tho lo	thô lỗ
the le	thể lệ
thi xa	thị xã
thu tu	thứ tự
to lon	to lớn
tro he	trò hề
tre em	trẻ em
tro ve	trở về
tro ly	trợ lý
tru so	trụ sở
tai xe	tài xế
tam li	tâm lí
tam ly	tâm lý
ti xiu	tí xíu
tin do	tín đồ
tu duy	tư duy
tu van	tư vấn
tat ca	tất cả
te nhi	tế nhị
to cao	tố cáo
toc do	tốc độ
toi va	tội vạ
tuc la	tức là
tu ngu	từ ngữ
tu hao	tự hào
tu tin	tự tin
vui ve	vui vẻ
vai ba	vài ba
vi sao	vì sao
vo cuc	vô cực
vo hoc	vô học
vo lai	vô lại
vo tam	vô tâm
vo ich	vô ích
vu khi	vũ khí
va lai	vả lại
vat va	vất vả
vi tri	vị trí
vo tay	vỗ tay
xa xoi	xa xôi
xe hoi	xe hơi
xe may	xe máy
xe dap	xe đạp
xa hoi	xã hội
xoa me	xóa mẹ
xoa tk	xóa tk
xoa di	xóa đi
xau ho	xấu hổ
yeu to	yếu tố
am anh	ám ảnh
ao dai	áo dài
ao mua	áo mưa
ap dat	áp đặt
an can	ân cần
ong ba	ông bà
an bot	ăn bớt
an cap	ăn cắp
an loi	ăn lời
an noi	ăn nói
an xin	ăn xin
an dut	ăn đứt
da cap	đa cấp
dam me	đam mê
de doa	đe dọa
den si	đen sì
di huy	đi hủy
di lai	đi lại
di nua	đi nữa
di doi	đi đôi
dap an	đáp án
dam ra	đâm ra
da doi	đã đời
don tu	đơn từ
don vi	đơn vị
dai ly	đại lý
dau tu	đầu tư
day du	đầy đủ
dan do	đắn đo
dat do	đắt đỏ
dep de	đẹp đẽ
de cap	đề cập
den bu	đền bù
doi xu	đối xử
do hoa	đồ họa
do vat	đồ vật
do dac	đồ đạc
uu tin	ưu tín
an huy	ấn hủy
uc che	ức chế
ung xu	ứng xử
ha nam	hà nam
son la	sơn la
thu vị	thú vị
an ui	an ủi
ba la	ba lá
ba lo	ba lô
ca si	ca sĩ
co de	có dễ
co ly	có lý
co le	có lẽ
co an	có ăn
